单词	音标	词义	例句英文	例句中文	搭配简	搭配详	笔记简	笔记详	记忆	标签
atmosphere	<span class="phonetic-text">/ˈætməsfɪə/</span>	<span class="meaning-text">大气层，大气圈；气氛</span>	The approaching examination created a tense atmosphere on the campus.	即将来临的考试在校园里制造了一种紧张气氛。	<ul class="collocation-list"><li>atmosphere pressure</li><li>working atmosphere</li></ul>	<ul class="collocation-list"><li>atmosphere pressure — 大气压</li><li>working atmosphere — 工作环境，工作氛围</li></ul>	<ul class="notes-list"><li>atom</li></ul>	<ul class="notes-list"><li>atom — /ˈætəm/ — 原子</li></ul>	atmo (水汽) + sphere (球体，球形) → 大气圈。	words-1
hydrosphere	<span class="phonetic-text">/ˈhaɪdrəʊsfɪə/</span>	<span class="meaning-text">水圈；大气中的水汽</span>	All the water of the earth's surface is included in the hydrosphere.	地球表面的水都属于水圈的范畴。					hydro (水) + sphere (球体，球形) → 水圈。	words-1
lithosphere	<span class="phonetic-text">/'lɪθəʊˌsfɪə/</span>	<span class="meaning-text">岩石圈</span>	The hydrosphere and the lithosphere together form the earth's surface.	水圈与岩石圈一起形成地球的表面。					litho (石头) + sphere (球体，球形) → 岩石圈。	words-1
oxygen	<span class="phonetic-text">/ˈɒksɪdʒən/</span>	<span class="meaning-text">氧气</span>	Hydrogen and oxygen are gases.	氢气和氧气是气体。					词源记忆法。	words-1
oxide	<span class="phonetic-text">/ˈɒksaɪd/</span>	<span class="meaning-text">氧化物</span>	Oxide is a part of our daily life.	氧化物是我们日常生活的一部分。					与oxygen（氧气）同根。	words-1
carbon dioxide	<span class="phonetic-text">/ˌkɑːbən daɪˈɒksaɪd/</span>	<span class="meaning-text">二氧化碳</span>	Soft drinks usually contain carbon dioxide.	软饮料中通常含有二氧化碳。			<ul class="notes-list"><li>diversity</li></ul>	<ul class="notes-list"><li>diversity — /daɪˈvɜːsəti/ — 多样性</li></ul>	carbon (碳) + di (二) + oxide (氧化物)。	words-1
hydrogen	<span class="phonetic-text">/ˈhaɪdrədʒən/</span>	<span class="meaning-text">氢气</span>	Two parts hydrogen, one part oxygen, you'll get water every time.	两份氢加一份氧，你就会得到水。			<ul class="notes-list"><li>genius</li></ul>	<ul class="notes-list"><li>genius — /ˈdʒiːniəs/ — 天才</li></ul>	hydro (水) + gen (生成) → 因氢气（与氧气混合燃烧后）会产生水而得名。	words-1
core	<span class="phonetic-text">/kɔː/</span>	<span class="meaning-text">中心，核心；地核</span>	He is the core of the working group.	他是这个工作小组的核心。					音译：核心（core）。	words-1
crust	<span class="phonetic-text">/krʌst/</span>	<span class="meaning-text">地壳；外壳</span>	The crust on the snow was thick enough for us to walk on it.	雪上冻结的那层冰很厚，足以让我们在上面行走。			<ul class="notes-list"><li>crispy</li></ul>	<ul class="notes-list"><li>crispy — /ˈkrɪspi/ — 脆的（食物）</li></ul>	地壳像面包的硬皮（crust）。	words-1
mantle	<span class="phonetic-text">/ˈmæntI/</span>	<span class="meaning-text">地幔；斗篷，披风 v. 覆盖</span>	Parents often use mantles for their babies to keep warm.	父母经常用披风给幼儿御寒。					西方文化中，mantle被视为法力或权力传承的媒介。	words-1
longitude	<span class="phonetic-text">/ˈlɒndʒɪtjuːd/</span>	<span class="meaning-text">经度</span>	The captain determines the latitude and longitude of his ship.	船长查明船的经纬度。	<ul class="collocation-list"><li>a line of longitude</li></ul>	<ul class="collocation-list"><li>a line of longitude — 经线</li></ul>			long (长的，垂直的) + itude (状态)。	words-1
latitude	<span class="phonetic-text">/ˈlætɪtjuːd/</span>	<span class="meaning-text">纬度</span>	Our position is 40 degrees north latitude.	我们的位置是北纬40度。	<ul class="collocation-list"><li>high latitudes</li></ul>	<ul class="collocation-list"><li>high latitudes — 高纬度地区</li></ul>			lat (宽，侧向) + itude (状态)。	words-1
horizon	<span class="phonetic-text">/həˈraɪzən/</span>	<span class="meaning-text">地平线；[~s] 眼界，见识</span>	I could see a ship on the horizon.	我看见地平线上有一艘轮船。	<ul class="collocation-list"><li>broaden sb.'s horizons</li></ul>	<ul class="collocation-list"><li>broaden sb.'s horizons — 开阔眼界</li></ul>	<ul class="notes-list"><li>horizontal</li></ul>	<ul class="notes-list"><li>horizontal — /ˌhɒrɪˈzɒntl/ — adj. 水平的</li></ul>	horizon 地平线，记忆其形容词形式horizontal。	words-1
altitude	<span class="phonetic-text">/ˈæltɪtjuːd/</span>	<span class="meaning-text">高度，海拔</span>	We are currently flying at an altitude of 8,000 metres.	我们目前正在海拔8000米的高空飞行。					alt (高) + itude (表性质、状态) → 高度。	words-1
disaster	<span class="phonetic-text">/dɪˈzɑːstə/</span>	<span class="meaning-text">灾难</span>	There was a great flood disaster in East China.	华东发生了严重的水灾。	<ul class="collocation-list"><li>a disaster film/movie</li></ul>	<ul class="collocation-list"><li>a disaster film/movie — 灾难片</li></ul>	<ul class="notes-list"><li>disastrous</li></ul>	<ul class="notes-list"><li>disastrous — /dɪˈzɑːstrəs/ — adj. 灾难性的</li></ul>	dis (坏) + aster (星) → 古人认为星位不好预示灾难。	words-1
